p,d,q,P,D,Q,season,value
2.0,1.0,1.0,3.0,1.0,1.0,5.0,13.325009226236867
2.0,1.0,1.0,3.0,1.0,2.0,5.0,13.311334456679214
2.0,1.0,1.0,3.0,1.0,3.0,5.0,13.22976441878076
2.0,1.0,2.0,0.0,1.0,0.0,5.0,22.10223137669496
2.0,1.0,2.0,0.0,1.0,1.0,5.0,13.393435551273267
2.0,1.0,2.0,0.0,1.0,2.0,5.0,13.33332222949446
2.0,1.0,2.0,0.0,1.0,3.0,5.0,13.32352937419175
2.0,1.0,2.0,1.0,1.0,0.0,5.0,17.860927326141688
2.0,1.0,2.0,1.0,1.0,1.0,5.0,13.338504270060008
2.0,1.0,2.0,1.0,1.0,2.0,5.0,13.391148001361449
2.0,1.0,2.0,1.0,1.0,3.0,5.0,13.313425664598359
2.0,1.0,2.0,2.0,1.0,0.0,5.0,18.223926124454206
2.0,1.0,2.0,2.0,1.0,1.0,5.0,13.329000163591587
2.0,1.0,2.0,2.0,1.0,2.0,5.0,13.309599226449375
2.0,1.0,2.0,2.0,1.0,3.0,5.0,13.285845396092128
2.0,1.0,2.0,3.0,1.0,0.0,5.0,17.467606622690322
2.0,1.0,2.0,3.0,1.0,1.0,5.0,13.322371819882093
2.0,1.0,2.0,3.0,1.0,2.0,5.0,13.317748874680156
2.0,1.0,2.0,3.0,1.0,3.0,5.0,13.260855573619244
2.0,1.0,3.0,0.0,1.0,0.0,5.0,21.93507330033899
2.0,1.0,3.0,0.0,1.0,1.0,5.0,13.392652674845138
2.0,1.0,3.0,0.0,1.0,2.0,5.0,13.333078209742979
2.0,1.0,3.0,0.0,1.0,3.0,5.0,13.323223996684426
2.0,1.0,3.0,1.0,1.0,0.0,5.0,17.856742459978914
2.0,1.0,3.0,1.0,1.0,1.0,5.0,13.338217581741553
2.0,1.0,3.0,1.0,1.0,2.0,5.0,13.383380731256732
2.0,1.0,3.0,1.0,1.0,3.0,5.0,13.310084493229212
2.0,1.0,3.0,2.0,1.0,0.0,5.0,18.219029396620257
2.0,1.0,3.0,2.0,1.0,1.0,5.0,13.328640057753393
2.0,1.0,3.0,2.0,1.0,2.0,5.0,13.308741003585165
