p,d,q,P,D,Q,season,value
3.0,1.0,1.0,1.0,1.0,1.0,5.0,24882.20022244349
3.0,1.0,1.0,1.0,1.0,2.0,5.0,24918.402242879296
3.0,1.0,1.0,1.0,1.0,3.0,5.0,24876.235878119085
3.0,1.0,1.0,2.0,1.0,0.0,5.0,26286.305127877513
3.0,1.0,1.0,2.0,1.0,1.0,5.0,24880.877007524847
3.0,1.0,1.0,2.0,1.0,2.0,5.0,24875.97979260639
3.0,1.0,1.0,2.0,1.0,3.0,5.0,24870.762662666748
3.0,1.0,1.0,3.0,1.0,0.0,5.0,26095.10526152118
3.0,1.0,1.0,3.0,1.0,1.0,5.0,24880.652598759156
3.0,1.0,1.0,3.0,1.0,2.0,5.0,24877.78895676352
3.0,1.0,1.0,3.0,1.0,3.0,5.0,24862.04745817664
3.0,1.0,2.0,0.0,1.0,0.0,5.0,27153.26775828915
3.0,1.0,2.0,0.0,1.0,1.0,5.0,24900.495464925087
3.0,1.0,2.0,0.0,1.0,2.0,5.0,24882.328137932887
3.0,1.0,2.0,0.0,1.0,3.0,5.0,24861.694085177405
3.0,1.0,2.0,1.0,1.0,0.0,5.0,26202.971858110337
3.0,1.0,2.0,1.0,1.0,1.0,5.0,24884.26284842567
3.0,1.0,2.0,1.0,1.0,2.0,5.0,24903.866024625233
3.0,1.0,2.0,1.0,1.0,3.0,5.0,24878.277520344258
3.0,1.0,2.0,2.0,1.0,0.0,5.0,25933.45024764405
3.0,1.0,2.0,2.0,1.0,1.0,5.0,24882.91691517063
3.0,1.0,2.0,2.0,1.0,2.0,5.0,24878.020411798243
3.0,1.0,2.0,2.0,1.0,3.0,5.0,24872.19901646958
3.0,1.0,2.0,3.0,1.0,0.0,5.0,25850.914259107692
3.0,1.0,2.0,3.0,1.0,1.0,5.0,24882.723653027824
3.0,1.0,2.0,3.0,1.0,2.0,5.0,24879.82315397323
3.0,1.0,2.0,3.0,1.0,3.0,5.0,24861.956253213568
3.0,1.0,3.0,0.0,1.0,0.0,5.0,27135.019725561066
3.0,1.0,3.0,0.0,1.0,1.0,5.0,24897.541323332145
3.0,1.0,3.0,0.0,1.0,2.0,5.0,24860.237890687175
3.0,1.0,3.0,0.0,1.0,3.0,5.0,24877.263391578137
3.0,1.0,3.0,1.0,1.0,0.0,5.0,26204.652263249132
3.0,1.0,3.0,1.0,1.0,1.0,5.0,24870.319959283283
3.0,1.0,3.0,1.0,1.0,2.0,5.0,24900.941672666657
3.0,1.0,3.0,1.0,1.0,3.0,5.0,24863.931710802284
3.0,1.0,3.0,2.0,1.0,0.0,5.0,25834.972793270877
3.0,1.0,3.0,2.0,1.0,1.0,5.0,24884.263649579374
3.0,1.0,3.0,2.0,1.0,2.0,5.0,24870.624423116482
3.0,1.0,3.0,2.0,1.0,3.0,5.0,24872.724514578393
3.0,1.0,3.0,3.0,1.0,0.0,5.0,25728.046983459353
3.0,1.0,3.0,3.0,1.0,1.0,5.0,24882.439630840658
3.0,1.0,3.0,3.0,1.0,2.0,5.0,24882.941012486815
3.0,1.0,3.0,3.0,1.0,3.0,5.0,24867.31991221045
