method,alpha,beta,value
estimated,0.12,0.17999999999999997,18291.80427956686
estimated,0.12,0.18999999999999995,18276.299967209467
estimated,0.12,0.19999999999999996,18262.65753194878
estimated,0.12,0.20999999999999996,18251.181974989875
estimated,0.12,0.21999999999999995,18242.0283731614
estimated,0.12,0.22999999999999995,18235.23211904585
estimated,0.12,0.23999999999999994,18230.74122066716
estimated,0.12,0.24999999999999992,18228.445278161926
estimated,0.12,0.2599999999999999,18228.199045520658
estimated,0.12,0.2699999999999999,18229.84057456768
estimated,0.12,0.2799999999999999,18233.204860782807
estimated,0.12,0.2899999999999999,18238.134034286373
estimated,0.12,0.29999999999999993,18244.48486419667
estimated,0.12,0.30999999999999994,18252.133973375665
estimated,0.12,0.3199999999999999,18260.980871049782
estimated,0.12,0.32999999999999985,18270.948779017304
estimated,0.12,0.33999999999999986,18281.983257645137
estimated,0.12,0.34999999999999987,18294.048790229852
estimated,0.12,0.3599999999999999,18307.12369456746
estimated,0.12,0.3699999999999999,18321.193928988436
estimated,0.12,0.3799999999999999,18336.24648825727
estimated,0.12,0.3899999999999999,18352.263108248964
estimated,0.12,0.3999999999999998,18369.214914401007
estimated,0.12,0.4099999999999998,18387.05848126557
estimated,0.12,0.4199999999999998,18405.73356136246
estimated,0.12,0.4299999999999998,18425.16253540874
estimated,0.12,0.43999999999999984,18445.251468370243
estimated,0.12,0.44999999999999984,18465.892544054735
estimated,0.12,0.45999999999999985,18486.967596236875
estimated,0.12,0.46999999999999986,18508.35244177286
estimated,0.12,0.47999999999999976,18529.921732277053
estimated,0.12,0.48999999999999977,18551.55405697139
estimated,0.12,0.4999999999999998,18573.137039240843
estimated,0.12,0.5099999999999998,18594.572170867505
estimated,0.12,0.5199999999999998,18615.77912612089
estimated,0.12,0.5299999999999998,18636.699303366673
estimated,0.12,0.5399999999999998,18657.298363226248
estimated,0.12,0.5499999999999998,18677.567578740745
estimated,0.12,0.5599999999999997,18697.5238825923
estimated,0.12,0.5699999999999997,18717.208586207853
estimated,0.12,0.5799999999999997,18736.684844569856
estimated,0.12,0.5899999999999997,18756.034035880075
estimated,0.12,0.5999999999999998,18775.351305760865
estimated,0.12,0.6099999999999998,18794.740580254314
estimated,0.12,0.6199999999999998,18814.309376041998
estimated,0.12,0.6299999999999997,18834.163728810167
estimated,0.12,0.6399999999999997,18854.40352542957
estimated,0.12,0.6499999999999997,18875.1184690026
estimated,0.12,0.6599999999999997,18896.384836767873
estimated,0.12,0.6699999999999997,18918.26311801792
estimated,0.12,0.6799999999999997,18940.796549922565
estimated,0.12,0.6899999999999997,18964.01051036485
estimated,0.12,0.6999999999999996,18987.912680327845
estimated,0.12,0.7099999999999996,19012.49385848059
estimated,0.12,0.7199999999999996,19037.729293704662
estimated,0.12,0.7299999999999996,19063.58039832476
estimated,0.12,0.7399999999999997,19089.99671160801
estimated,0.12,0.7499999999999997,19116.917997299977
estimated,0.12,0.7599999999999997,19144.276377351413
estimated,0.12,0.7699999999999997,19171.998423949924
estimated,0.12,0.7799999999999997,19200.007151516114
estimated,0.12,0.7899999999999996,19228.223867452125
estimated,0.12,0.7999999999999996,19256.569854719288
